trip_id,time,isPassingPeriod,blank
21107,1600,,
21108,1640,,
21109,1705,,
21110,1835,,
21111,1855,,
21112,1940,,
21113,2000,,
21201,1440,,
21202,1500,,
21203,1550,,
21204,1610,,
21205,1630,,
21206,1655,,
21207,1810,,
21208,1830,,
21209,1850,,
21210,1910,,
21211,1930,,
21212,2010,,
21213,2050,,
21214,2130,,
21301,1640,,
21302,1700,,
21303,1725,,
21304,1815,,
21305,1840,,
21306,2030,,
21307,2100,,
21308,2200,,
21309,2230,,
21310,2300,,
21311,2330,,
21312,2400,,
21401,1345,,
21402,1410,,
21403,1450,,
21404,1510,,
21405,1545,,
21406,1605,,
21407,1625,,
21408,1645,,
21409,1750,,
21410,1815,,
21411,1835,,
21412,1855,,
21413,1935,,
21414,1955,,
21415,2015,,
21501,1440,,
21502,1500,,
21503,1550,,
21504,1610,,
21505,1630,,
21506,1655,,
21507,1810,,
21508,1830,,
21509,1850,,
21510,1910,,
21511,1930,,
21512,2010,,
21513,2030,,
21514,2050,,
21515,2145,,
21601,1640,,
21602,1700,,
21603,1725,,
21604,1745,,
21605,1825,,
21606,1845,,
21607,2045,,
21608,2115,,
21609,2215,,
21610,2245,,
21611,2315,,
21612,2345,,
21701,1330,,
21702,1350,,
21703,1410,,
21704,1445,,
21705,1500,,
21706,1600,,
21707,1615,,
21708,1630,,
21709,1645,,
21710,1700,,
21711,1815,,
21712,1830,,
21713,1900,,
21714,1940,,
21715,2015,,
21716,2030,,
21717,2045,,
21801,1330,,
21802,1350,,
21803,1410,,
21804,1505,,
21805,1545,,
21806,1610,,
21807,1625,,
21808,1645,,
21809,1745,,
21810,1800,,
21811,1815,,
21812,1830,,
21813,1900,,
21814,1940,,
21815,2015,,
21816,2030,,
21817,2045,,
21901,1040,,
21902,1100,,
21903,1120,,
21904,1140,,
21905,1220,,
21906,1240,,
21907,1310,,
21908,1330,,
21909,1400,,
10101,0725,,
10102,0745,,
10103,0830,,
10104,0850,,
10105,0910,,
10106,1020,,
10107,1040,,
10108,1105,,
10109,1130,,
10110,1150,,
10111,1235,,
10112,1255,,
10113,1315,,
10114,1355,,
10201,0730,,
10202,0750,,
10203,0815,,
10204,0900,,
10205,0925,,
10206,0945,,
10207,1005,,
10208,1025,,
10209,1135,,
10210,1155,,
10211,1215,,
10212,1300,,
10213,1325,,
10214,1345,,
10215,1415,,
10301,0735,,
10302,0755,,
10305,1010,,
10306,1030,,
10307,2340,,
10308,1205,,
10309,1245,,
10310,1305,,
10311,1330,,
10312,1410,,
10313,1430,,
10401,0725,,
10402,0745,,
10403,0830,,
10404,0850,,
10405,0910,,
10406,1020,,
10407,1045,,
10408,1105,,
10409,1125,,
10410,1145,,
10411,1235,,
10412,1255,,
10413,1315,,
10414,1355,,
10501,0730,,
10502,0750,,
10503,0815,,
10504,0900,,
10505,0925,,
10506,0945,,
10507,1005,,
10508,1025,,
10509,1135,,
10510,1155,,
10511,1215,,
10512,1300,,
10513,1325,,
10514,1345,,
10515,1405,,
10516,1425,,
10601,0735,,
10602,0755,,
10603,0825,,
10604,0845,,
10605,0905,,
10606,0955,,
10607,1015,,
10608,1035,,
10609,1055,,
10610,1205,,
10611,1225,,
10612,1245,,
10613,1305,,
10614,1415,,
10615,1435,,
10616,1500,,
10701,0730,,
10702,0745,,
10703,0800,,
10704,0815,,
10705,0900,,
10706,0915,,
10707,0930,,
10708,0945,,
10709,1015,,
10710,1030,,
10711,1130,,
10712,1145,,
10713,1200,,
10714,1215,,
10715,1300,,
10716,1315,,
10717,1400,,
10718,1415,,
10719,1430,,
30801,0730,,
30802,0745,,
30803,0800,,
30804,0815,,
30805,0900,,
30806,0915,,
30807,0930,,
30808,1000,,
30809,1015,,
30810,1030,,
30811,1130,,
30812,1145,,
30813,1200,,
30814,1215,,
30815,1300,,
30816,1315,,
30817,1405,,
30818,1425,,
40805,1015,,
40806,1030,,
40807,1130,,
40808,1145,,
40809,1200,,
40810,1215,,
40811,1300,,
40812,1315,,
40813,1400,,
40814,1415,,
30905,1015,,
30906,1145,,
30907,1210,,
30908,1245,,
30909,1310,,
30910,1400,,
30911,1445,,
30912,1510,,
31101,1320,,
31102,1340,,
31103,1400,,
31104,1510,,
31105,1530,,
31106,1550,,
31107,1610,,
31108,1715,,
31109,1735,,
31110,1755,,
31111,1815,,
31112,1855,,
31113,1915,,
31114,1935,,
31115,1955,,
31116,2020,,
31201,1435,,
31202,1455,,
31203,1515,,
31204,1535,,
31205,1625,,
31206,1645,,
31207,1705,,
31208,1730,,
31209,1840,,
31210,1900,,
31211,1920,,
31212,1940,,
31213,2040,,
31214,2130,,
31301,1650,,
31302,1710,,
31303,1740,,
31304,1820,,
31305,1845,,
31306,2000,,
31307,2030,,
31308,2100,,
31309,2200,,
31310,2230,,
31311,2300,,
31312,2330,,
31313,2400,,
31401,1350,,
31402,1410,,
31403,1440,,
31404,1525,,
31405,1545,,
31406,1610,,
31407,1720,,
31408,1740,,
31409,1800,,
31410,1820,,
31411,1900,,
31412,1925,,
31413,1950,,
31414,2040,,
31501,1430,,
31502,1455,,
31503,1515,,
31504,1535,,
31505,1625,,
31506,1700,,
31507,1730,,
31508,1835,,
31509,1855,,
31510,1920,,
31511,1940,,
31512,2020,,
31513,2040,,
31514,2145,,
31601,1650,,
31602,1710,,
31603,1735,,
31604,1815,,
31605,1850,,
31606,2015,,
31607,2045,,
31608,2115,,
31609,2215,,
31610,2245,,
31611,2315,,
31612,2345,,
31613,2345,,
31701,1330,,
31702,1345,,
31703,1445,,
31704,1500,,
31705,1540,,
31706,1600,,
31707,1630,,
31708,1645,,
31709,1700,,
31710,1830,,
31711,1845,,
31712,1900,,
31713,1930,,
31714,2000,,
31715,2045,,
31801,1330,,
31802,1345,,
31803,1400,,
31804,1415,,
31805,1505,,
31806,1540,,
31807,1600,,
31808,1620,,
31809,1640,,
31810,1710,,
31811,1815,,
31812,1830,,
31813,1845,,
31814,1900,,
31815,1930,,
31816,2000,,
31817,2045,,
31901,1045,,
31902,1105,,
31903,1125,,
31904,1150,,
31905,1230,,
31906,1250,,
31907,1315,,
31908,1400,,
41101,1035,,
41102,1055,,
41103,1115,,
41104,1210,,
41105,1230,,
41106,1320,,
41107,1340,,
41108,1445,,
41109,1505,,
41110,1525,,
41111,1545,,
41112,1635,,
41113,1655,,
41114,1720,,
41115,1745,,
41201,1240,,
41202,1305,,
41203,1335,,
41204,1415,,
41205,1435,,
41206,1455,,
41207,1515,,
41208,1555,,
41209,1705,,
41210,1730,,
41211,1800,,
41212,1830,,
41213,1900,,
41214,1930,,
41301,1650,,
41302,1710,,
41303,1735,,
41304,1815,,
41305,1845,,
41306,1915,,
41307,2045,,
41308,2115,,
41309,2215,,
41310,2245,,
41311,2315,,
41312,2345,,
41401,1505,,
41402,1525,,
41403,1545,,
41404,1625,,
41405,1645,,
41406,1705,,
41407,1735,,
41408,1755,,
41409,1920,,
41410,2000,,
41411,2030,,
41412,2130,,
41413,2200,,
41501,1030,,
41502,1050,,
41503,1115,,
41504,1140,,
41505,1230,,
41506,1250,,
41507,1310,,
41508,1335,,
41509,1455,,
41510,1515,,
41511,1535,,
41512,1555,,
41513,1615,,
41514,1710,,
41515,1730,,
410601,1655,,
410602,1715,,
410603,1740,,
410604,1820,,
410605,1850,,
410606,2015,,
410607,2100,,
410608,2145,,
410609,2230,,
410610,2300,,
410611,2330,,
410612,2400,,
41701,1045,,
41702,1100,,
41703,1115,,
41704,1230,,
41705,1245,,
41706,1330,,
41707,1345,,
41708,1445,,
41709,1500,,
41710,1540,,
41711,1605,,
41712,1635,,
41713,1700,,
41801,1045,,
41802,1100,,
41803,1115,,
41804,1230,,
41805,1245,,
41806,1330,,
41807,1345,,
41808,1445,,
41809,1500,,
41810,1540,,
41811,1600,,
41812,1630,,
41813,1645,,
41814,1700,,
41815,1750,,
50101,1630,,
50102,1715,,
50103,1830,,
50104,1915,,
50105,2030,,
50106,2100,,
50107,2130,,
50108,2230,,
50109,2315,,
50110,2400,,
50201,1645,,
50202,1730,,
50203,1800,,
50204,1900,,
50205,1930,,
50206,2000,,
50207,2115,,
50208,2145,,
50209,2215,,
50210,2245,,
50211,2345,,
50301,1700,,
50302,1745,,
50303,1815,,
50304,1845,,
50305,1945,,
50306,815PM,,
50307,2045,,
50308,2200,,
50309,2300,,
50310,2330,,
60101,1630,,
60102,1700,,
60103,1730,,
60104,1800,,
60105,1900,,
60106,1930,,
60107,2000,,
60108,2130,,
60109,2200,,
60110,2330,,
60111,2400,,
60201,1645,,
60202,1715,,
60203,1745,,
60204,1830,,
60205,1945,,
60206,2030,,
60207,2100,,
60208,2230,,
60209,2300,,
60210,2400,,
90101,0730,,
90102,0750,,
90103,0810,,
90104,0830,,
90105,0910,,
90106,0930,,
90107,0950,,
90108,1010,,
90109,1130,,
90110,1150,,
90111,1210,,
90112,1230,,
90113,1310,,
90114,1330,,
90115,1350,,
90116,1410,,
90201,0850,,
90202,1030,,
90203,1050,,
90204,1110,,
90205,1250,,
90206,1430,,
90301,1450,,
90302,1510,,
90303,1530,,
90304,1550,,
90305,1630,,
90306,1650,,
90307,1710,,
90308,1730,,
90401,1440,,
90402,1500,,
90403,1520,,
90404,1540,,
90405,1610,,
90406,1700,,
90407,1720,,
90408,1750,,
