trip_id,route_num,date,stop_0,time_at_stop_0,time_from_stop_0_to_stop_1,stop_1,time_at_stop_1,time_from_stop_1_to_stop_2,stop_2,time_at_stop_2,time_from_stop_2_to_stop_3,stop_3,time_at_stop_3,time_from_stop_3_to_stop_4,stop_4,time_at_stop_4,,,2.610784314,3.065686275,2.025,3.285416667
190206,19,6/27/22,2375,12,144,2670,24,196,2674,256,148,2676,36,264,2376,32,,,,,,
190206,19,6/28/22,2375,28,,,,,,,,,,,,,,,,,,
190206,19,6/29/22,2375,12,155,2670,52,268,2674,64,156,2676,32,276,2376,8,,,,,,
190206,19,6/30/22,2375,12,153,2670,16,176,2674,36,132,2676,40,232,2376,12,,,,,,
190206,19,7/1/22,2375,16,153,2670,44,224,2674,56,160,2676,40,201,2376,32,,,,,,
180207,19,6/21/22,2375,16,158,2670,48,192,2674,60,168,2676,40,197,2376,8,,,,,,
180207,19,6/22/22,2375,12,142,2670,52,196,2674,168,152,2676,40,279,2376,36,,,,,,
180207,19,6/23/22,2375,12,147,2670,20,188,2674,192,140,2676,12,224,2376,8,,,,,,
180207,19,6/24/22,2375,12,144,2670,20,212,2674,72,148,2676,52,232,2376,36,,,,,,
180207,19,6/27/22,2375,12,172,2670,48,212,2674,132,148,2676,64,248,2376,40,,,,,,
180207,19,6/28/22,2375,12,158,2670,52,220,2674,60,156,2676,36,220,2376,32,,,,,,
180207,19,6/29/22,2375,13,151,2670,41,203,2674,130,145,2676,38,256,2376,34,,,,,,
180207,19,6/30/22,2375,16,151,2670,56,236,2674,92,124,2676,16,200,2376,12,,,,,,
180207,19,7/1/22,2375,16,149,2670,44,184,2674,176,156,2676,36,216,2376,28,,,,,,
190405,19,6/21/22,2375,20,160,2670,20,228,2674,72,248,2676,56,316,2376,12,,,,,,
190405,19,6/22/22,2375,12,150,2670,36,172,2674,248,152,2676,40,231,2376,32,,,,,,
190405,19,6/23/22,2670,20,176,2674,72,128,2676,44,206,2376,8,,,,,,,,,
190405,19,6/24/22,2375,12,138,2670,20,204,2674,132,164,2676,36,212,2376,44,,,,,,
190405,19,6/27/22,2375,108,142,2670,22,758,2376,48,,,,,,,,,,,,
190405,19,6/28/22,2375,53,162,2670,50,184,2674,71,172,2676,53,272,2376,41,,,,,,
190405,19,6/29/22,2375,12,142,2670,32,186,2674,48,133,2676,52,319,2376,52,,,,,,
190405,19,6/30/22,2375,12,151,2670,20,240,2674,128,160,2676,64,247,2376,40,,,,,,
190405,19,7/1/22,2375,12,141,2670,16,220,2674,68,128,2676,12,264,2376,8,,,,,,
190307,19,6/21/22,2375,12,129,2670,36,540,2676,48,236,2376,28,,,,,,,,,
190307,19,6/22/22,2375,36,133,2670,40,184,2674,284,148,2676,64,268,2376,12,,,,,,
190307,19,6/23/22,2375,12,146,2670,16,180,2674,248,164,2676,44,268,2376,8,,,,,,
190307,19,6/24/22,2375,16,144,2670,20,156,2674,60,140,2676,44,251,2376,28,,,,,,
190307,19,6/27/22,2375,12,155,2670,20,196,2674,292,136,2676,76,300,2376,12,,,,,,
190307,19,6/28/22,2375,12,141,2670,16,304,2674,5,280,2676,36,240,2376,12,,,,,,
190307,19,6/29/22,2375,16,143,2670,40,200,2674,176,148,2676,40,211,2376,12,,,,,,
190307,19,6/30/22,2375,16,143,2670,16,220,2674,196,124,2676,48,220,2376,8,,,,,,
190307,19,7/1/22,2375,12,151,2670,40,208,2674,76,156,2676,44,176,2376,64,,,,,,
190108,19,6/21/22,2375,12,145,2670,20,236,2674,44,164,2676,48,253,2376,8,,,,,,
190108,19,6/22/22,2375,12,144,2670,20,200,2674,242,146,2676,48,244,2376,12,,,,,,
190108,19,6/23/22,2375,12,171,2670,36,188,2674,192,148,2676,56,212,2376,32,,,,,,
190108,19,6/24/22,2375,12,155,2670,36,192,2674,172,156,2676,36,216,2376,16,,,,,,
190108,19,6/27/22,2375,9,199,2670,18,210,2674,26,137,2676,39,175,2376,9,,,,,,
190108,19,6/28/22,2375,12,154,2670,20,176,2674,333,,,,,,,,,,,,
190108,19,6/28/22,2375,12,174,2670,20,184,2674,112,152,2676,16,228,2376,200,,,,,,
190108,19,6/29/22,2375,30,147,2670,18,188,2674,260,171,2676,38,241,2376,35,,,,,,
190108,19,6/30/22,2375,12,149,2670,20,168,2674,340,140,2676,144,272,2376,8,,,,,,
190108,19,7/1/22,2375,12,150,2670,20,172,2674,292,168,2676,12,305,2376,28,,,,,,
190208,19,6/21/22,2375,268,149,2670,16,188,2674,40,148,2676,48,208,2376,36,,,,,,
190208,19,6/22/22,2375,12,169,2670,20,216,2674,64,156,2676,56,340,2376,48,,,,,,
190208,19,6/23/22,2375,16,170,2670,20,276,2674,180,172,2676,60,308,2376,40,,,,,,
190208,19,6/24/22,2375,16,147,2670,44,200,2674,180,164,2676,44,252,2376,36,,,,,,
190208,19,6/27/22,2375,12,172,2670,20,228,2674,176,156,2676,40,260,2376,40,,,,,,
190208,19,6/28/22,2375,12,163,2670,48,280,2674,116,172,2676,60,296,2376,44,,,,,,
190208,19,6/29/22,2375,20,203,2670,52,296,2674,80,152,2676,76,356,2376,48,,,,,,
190208,19,6/30/22,2375,12,148,2670,44,208,2674,68,184,2676,60,272,2376,44,,,,,,
190208,19,7/1/22,2375,12,141,2670,44,248,2674,92,180,2676,48,276,2376,40,,,,,,
